"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Playtime (Median)","Developer(s)","Publisher(s)"
"25","Counter-Strike: Global Offensive","Aug 21, 2012","$14.99","71% (88%/83%)","20,000,000 .. 50,000,000","15:29 (06:24)","Valve","Valve"
"5","Borderlands 2","Sep 17, 2012","$19.99","95% (96%/89%)","5,000,000 .. 10,000,000","05:50 (01:57)","Gearbox Software, Aspyr (Mac), Aspyr (Linux)","2K, Aspyr (Mac), Aspyr (Linux)"
"23","PlanetSide 2","Nov 20, 2012","Free","55% (82%/84%)","5,000,000 .. 10,000,000","05:59 (01:38)","Daybreak Game Company","Daybreak Game Company"
"59","Chivalry: Medieval Warfare","Oct 16, 2012","$24.99","57% (83%/79%)","5,000,000 .. 10,000,000","02:27 (01:05)","Torn Banner Studios","Torn Banner Studios"
"63","Euro Truck Simulator 2","Oct 12, 2012","$19.99","95% (96%/79%)","5,000,000 .. 10,000,000","07:11 (03:03)","SCS Software","SCS Software"
"2","Batman: Arkham City - Game of the Year Edition","Sep 7, 2012","$19.99","90% (94%/91%)","2,000,000 .. 5,000,000","01:59 (01:45)","Rocksteady Studios, Feral Interactive (Mac)","Warner Bros. Interactive Entertainment, Feral Interactive (Mac)"
"3","Dishonored","Oct 8, 2012","$9.99","95% (96%/91%)","2,000,000 .. 5,000,000","02:26 (00:54)","Arkane Studios","Bethesda Softworks"
"4","XCOM: Enemy Unknown","Oct 8, 2012","$29.99","90% (94%/89%)","2,000,000 .. 5,000,000","10:05 (07:45)","Firaxis Games, Feral Interactive (Mac), Feral Interactive (Linux)","2K, Feral Interactive (Mac), Feral Interactive (Linux)"
"6","The Witcher 2: Assassins of Kings Enhanced Edition","Apr 16, 2012","$19.99","71% (88%/88%)","2,000,000 .. 5,000,000","04:46 (01:59)","CD PROJEKT RED","CD PROJEKT RED, 1C-SoftClub"
"9","Far Cry 3","Dec 4, 2012","$19.99","71% (88%/88%)","2,000,000 .. 5,000,000","04:01 (01:35)","Ubisoft Montreal, Massive Entertainment, and Ubisoft Shanghai","Ubisoft"
"10","Torchlight II","Sep 20, 2012","$19.99","90% (94%/88%)","2,000,000 .. 5,000,000","04:17 (01:57)","Runic Games","Runic Games"
"14","Tribes: Ascend","Jun 27, 2012","Free","46% (78%/86%)","2,000,000 .. 5,000,000","00:00 (00:00)","Hi-Rez Studios","Hi-Rez Studios"
"16","The Lord of the Rings Online","Jun 6, 2012","Free","53% (81%/86%)","2,000,000 .. 5,000,000","08:07 (15:13)","Standing Stone Games, LLC","Standing Stone Games, LLC"
"17","DARK SOULS: Prepare To Die Edition","Aug 24, 2012","N/A","74% (89%/85%)","2,000,000 .. 5,000,000","08:17 (01:01)","FromSoftware","BANDAI NAMCO Entertainment"
"18","STAR WARS Knights of the Old Republic II - The Sith Lords","Aug 23, 2012","$9.99","74% (89%/85%)","2,000,000 .. 5,000,000","04:11 (04:20)","Obsidian Entertainment, Aspyr (Mac, Linux, & Windows Update)","LucasArts, Disney Interactive, Lucasfilm, Aspyr (Mac, Linux)"
"19","Hotline Miami","Oct 23, 2012","$9.99","97% (97%/85%)","2,000,000 .. 5,000,000","01:48 (00:21)","Dennaton Games","Devolver Digital"
"20","FTL: Faster Than Light","Sep 14, 2012","$9.99","95% (96%/84%)","2,000,000 .. 5,000,000","03:43 (01:12)","Subset Games","Subset Games"
"27","Alan Wake","Feb 16, 2012","$14.99","80% (91%/83%)","2,000,000 .. 5,000,000","02:31 (01:54)","Remedy Entertainment","Remedy Entertainment"
"28","Orcs Must Die! 2","Jul 30, 2012","$14.99","90% (94%/83%)","2,000,000 .. 5,000,000","01:56 (02:28)","Robot Entertainment","Robot Entertainment"
"29","Realm of the Mad God","Feb 20, 2012","Free","57% (83%/82%)","2,000,000 .. 5,000,000","03:32 (00:53)","Wild Shadow Studios, Deca Games","Deca Games"
"31","The Walking Dead","Apr 24, 2012","N/A","95% (96%/82%)","2,000,000 .. 5,000,000","16:29 (01:09)","Telltale Games","Telltale Games"
"33","Crusader Kings II","Feb 14, 2012","$39.99","77% (90%/82%)","2,000,000 .. 5,000,000","10:16 (03:56)","Paradox Development Studio","Paradox Interactive"
"37","Age of Empires III: Complete Collection","Jan 5, 2012","$39.99","71% (88%/81%)","2,000,000 .. 5,000,000","04:36 (01:41)","Ensemble Studios","Microsoft Studios"
"62","Hitman: Absolution","Nov 19, 2012","$19.99","77% (90%/79%)","2,000,000 .. 5,000,000","01:56 (01:14)","Io-Interactive A/S, Feral Interactive (Mac)","Io-Interactive A/S, Feral Interactive (Mac)"
"68","Awesomenauts - the 2D moba","Aug 1, 2012","Free","63% (85%/78%)","2,000,000 .. 5,000,000","01:32 (00:49)","Ronimo Games","Ronimo Games"
"94","Blacklight: Retribution","Jul 2, 2012","Free","39% (74%/75%)","2,000,000 .. 5,000,000","01:23 (00:35)","Hardsuit Labs, Inc.","Hardsuit Labs, Inc."
"100","Call of Duty: Black Ops II","Nov 12, 2012","$59.99","55% (82%/74%)","2,000,000 .. 5,000,000","02:14 (00:10)","Treyarch","Activision"
"128","Fallen Earth Free2Play","Feb 22, 2012","Free","14% (55%/71%)","2,000,000 .. 5,000,000","01:20 (00:53)","Little Orbit","Little Orbit"
"148","Sniper Elite V2","Apr 30, 2012","$19.99","68% (87%/66%)","2,000,000 .. 5,000,000","02:18 (01:07)","Rebellion","Rebellion"
"154","Guns of Icarus Online","Oct 29, 2012","$4.99","83% (92%/64%)","2,000,000 .. 5,000,000","10:00 (01:52)","Muse Games","Muse Games"
"258","Castle Crashers","Sep 26, 2012","$14.99","95% (96%)","2,000,000 .. 5,000,000","03:31 (01:24)","The Behemoth","The Behemoth"
"335","Gotham City Impostors Free to Play","Aug 30, 2012","Free","60% (84%)","2,000,000 .. 5,000,000","00:37 (00:39)","Monolith Productions, Inc.","Warner Bros. Interactive Entertainment"
"8","Super Hexagon","Nov 27, 2012","$2.99","97% (97%/88%)","1,000,000 .. 2,000,000","00:11 (00:09)","Terry Cavanagh","Terry Cavanagh"
"12","Max Payne 3","May 31, 2012","$19.99","55% (82%/87%)","1,000,000 .. 2,000,000","01:29 (01:48)","Rockstar Studios","Rockstar Games"
"34","Sins of a Solar Empire: Rebellion","Jun 12, 2012","$39.99","83% (92%/82%)","1,000,000 .. 2,000,000","05:56 (06:34)","Ironclad Games, Stardock Entertainment","Stardock Entertainment"
"40","To the Moon","Sep 7, 2012","$9.99","95% (96%/81%)","1,000,000 .. 2,000,000","01:40 (02:26)","Freebird Games","Freebird Games"
"46","Assassin’s Creed III","Nov 20, 2012","$19.99","39% (74%/80%)","1,000,000 .. 2,000,000","03:07 (00:39)","Ubisoft Montreal","Ubisoft"
"52","Natural Selection 2","Oct 30, 2012","$9.99","63% (85%/80%)","1,000,000 .. 2,000,000","02:19 (00:35)","Unknown Worlds Entertainment","Unknown Worlds Entertainment"
"75","The Darkness II","Feb 6, 2012","$29.99","74% (89%/77%)","1,000,000 .. 2,000,000","01:13 (01:18)","Digital Extremes","2K"
"78","Endless Space - Collection","Jul 4, 2012","$19.99","51% (80%/77%)","1,000,000 .. 2,000,000","02:28 (02:38)","AMPLITUDE Studios","SEGA"
"81","Vindictus","Jun 22, 2012","Free","35% (72%/76%)","1,000,000 .. 2,000,000","11:49 (30:06)","Nexon","Nexon America Inc."
"86","Spec Ops: The Line","Jun 25, 2012","$29.99","87% (93%/76%)","1,000,000 .. 2,000,000","13:56 (01:29)","YAGER","2K, Missing Link Games"
"92","Stronghold Kingdoms","Feb 27, 2012","Free","25% (65%/75%)","1,000,000 .. 2,000,000","49:04 (49:03)","FireFly Studios","FireFly Studios"
"99","Scribblenauts Unlimited","Nov 19, 2012","$19.99","80% (91%/75%)","1,000,000 .. 2,000,000","01:48 (02:20)","5th Cell Media","Warner Bros. Interactive Entertainment"
"117","Alan Wake's American Nightmare","May 22, 2012","$8.99","32% (70%/73%)","1,000,000 .. 2,000,000","03:55 (02:36)","Remedy Entertainment","Remedy Entertainment"
"119","Worms Revolution","Oct 10, 2012","$2.99","60% (84%/73%)","1,000,000 .. 2,000,000","03:58 (01:16)","Team17 Digital Ltd","Team17 Digital Ltd"
"138","Risen 2: Dark Waters","Apr 26, 2012","$9.99","42% (76%/69%)","1,000,000 .. 2,000,000","11:15 (10:05)","Piranha Bytes","Deep Silver"
"146","Star Trek Online","Jan 31, 2012","Free","42% (76%/66%)","1,000,000 .. 2,000,000","07:35 (08:53)","Cryptic Studios","Perfect World Entertainment"
"153","Hell Yeah! Wrath of the Dead Rabbit","Oct 3, 2012","$14.99","65% (86%/64%)","1,000,000 .. 2,000,000","00:27 (00:23)","Arkedo","SEGA"
"169","POSTAL 2","Nov 2, 2012","$9.99","93% (95%/59%)","1,000,000 .. 2,000,000","02:56 (01:40)","Running With Scissors","Running With Scissors"
"191","Cortex Command","Sep 28, 2012","$19.99","53% (81%/44%)","1,000,000 .. 2,000,000","03:18 (03:51)","Data Realms","Data Realms, LLC"
"236","Jet Set Radio","Sep 19, 2012","$7.99","71% (88%)","1,000,000 .. 2,000,000","01:19 (01:35)","Blit Software","SEGA"
"237","Viking: Battle for Asgard","Oct 17, 2012","$14.99","12% (52%)","1,000,000 .. 2,000,000","12:56 (04:18)","Creative Assembly, PC Port - Hardlight","SEGA"
"269","Super Crate Box","Aug 29, 2012","Free","74% (89%)","1,000,000 .. 2,000,000","00:04 (00:01)","Vlambeer","Vlambeer"
"313","Source Filmmaker","Jul 10, 2012","Free","87% (93%)","1,000,000 .. 2,000,000","31:59 (02:35)","Valve","Valve"
"343","MapleStory","Aug 9, 2012","Free","29% (68%)","1,000,000 .. 2,000,000","12:43 (13:30)","Nexon","Nexon America Inc."
"1","Thief Gold","May 22, 2012","$6.99","83% (92%/92%)","500,000 .. 1,000,000","00:17 (00:11)","Looking Glass Studios","Square Enix"
"35","Legend of Grimrock","Apr 11, 2012","$14.99","90% (94%/82%)","500,000 .. 1,000,000","02:44 (02:02)","Almost Human Games","Almost Human Games"
"36","Lone Survivor: The Director's Cut","Apr 23, 2012","$14.99","71% (88%/81%)","500,000 .. 1,000,000","00:00 (00:00)","Jasper Byrne","Superflat Games"
"38","Wargame: European Escalation","Feb 22, 2012","$9.99","40% (75%/81%)","500,000 .. 1,000,000","03:10 (02:38)","Eugen Systems","Focus Home Interactive"
"42","Kingdoms of Amalur: Reckoning","Feb 7, 2012","$19.99","68% (87%/81%)","500,000 .. 1,000,000","02:46 (03:13)","Big Huge Games, 38 Studios","38 Studios, Electronic Arts"
"44","Divine Divinity","Jul 5, 2012","$5.99","68% (87%/81%)","500,000 .. 1,000,000","02:18 (03:03)","Larian Studios","Larian Studios"
"45","Waveform","Mar 20, 2012","$1.99","60% (84%/81%)","500,000 .. 1,000,000","00:28 (00:09)","Eden Industries","Eden Industries"
"54","LEGO The Lord of the Rings","Nov 27, 2012","$19.99","74% (89%/80%)","500,000 .. 1,000,000","02:52 (01:25)","Traveller's Tales","Warner Bros. Interactive Entertainment"
"66","Deadlight","Oct 25, 2012","$14.99","51% (80%/78%)","500,000 .. 1,000,000","03:58 (01:19)","Tequila Works, S.L.","Microsoft Studios"
"72","Thomas Was Alone","Nov 12, 2012","$9.99","90% (94%/77%)","500,000 .. 1,000,000","00:00 (00:00)","Bithell Games","Bithell Games"
"77","Giana Sisters: Twisted Dreams","Oct 22, 2012","$14.99","60% (84%/77%)","500,000 .. 1,000,000","00:00 (00:00)","Black Forest Games","HandyGames, Black Forest Games"
"79","Prototype 2","Jul 24, 2012","$39.99","23% (64%/76%)","500,000 .. 1,000,000","01:50 (01:07)","Radical Entertainment","Activision"
"91","Tiny and Big: Grandpa's Leftovers","Jun 19, 2012","$9.99","83% (92%/75%)","500,000 .. 1,000,000","00:00 (00:00)","Black Pants Studio","Black Pants Studio"
"103","Serious Sam 2","Jan 31, 2012","$9.99","71% (88%/74%)","500,000 .. 1,000,000","02:16 (01:29)","Croteam","Devolver Digital"
"106","Deponia","Aug 6, 2012","$9.99","74% (89%/74%)","500,000 .. 1,000,000","01:43 (02:16)","Daedalic Entertainment","Daedalic Entertainment"
"113","Beyond Divinity","Oct 29, 2012","$5.99","12% (52%/73%)","500,000 .. 1,000,000","02:17 (01:31)","Larian Studios","Larian Studios"
"125","Shank 2","Feb 7, 2012","$9.99","55% (82%/72%)","500,000 .. 1,000,000","01:01 (01:01)","Klei Entertainment","Klei Entertainment"
"129","Warlock - Master of the Arcane","May 8, 2012","$24.99","65% (86%/71%)","500,000 .. 1,000,000","02:40 (00:53)","Ino-Co Plus","Paradox Interactive"
"139","Binary Domain","Apr 27, 2012","$14.99","63% (85%/68%)","500,000 .. 1,000,000","00:46 (01:00)","Devil's Details","SEGA"
"140","Little Inferno","Nov 19, 2012","$9.99","90% (94%/68%)","500,000 .. 1,000,000","00:00 (00:00)","Tomorrow Corporation","Tomorrow Corporation"
"155","Painkiller Hell & Damnation","Oct 31, 2012","$19.99","42% (76%/64%)","500,000 .. 1,000,000","00:08 (00:02)","The Farm 51","THQ Nordic"
"158","Pid","Oct 31, 2012","$9.99","34% (71%/63%)","500,000 .. 1,000,000","00:00 (00:00)","Might and Delight","Might and Delight"
"170","Lucius","Oct 26, 2012","$1.99","48% (79%/59%)","500,000 .. 1,000,000","03:02 (04:02)","Shiver Games","Shiver Games"
"199","Divinity II: Developer's Cut","Oct 29, 2012","$19.99","53% (81%)","500,000 .. 1,000,000","00:15 (00:12)","Larian Studios","Larian Studios, Focus Home Interactive"
"205","Stronghold 3 Gold","May 25, 2012","$29.99","2% (26%)","500,000 .. 1,000,000","00:53 (00:52)","FireFly Studios","FireFly Studios"
"211","RPG Maker VX Ace","Dec 10, 2012","$69.99","87% (93%)","500,000 .. 1,000,000","37:33 (76:12)","KADOKAWA","Degica"
"216","Planets Under Attack","Sep 27, 2012","$9.99","25% (65%)","500,000 .. 1,000,000","03:22 (03:51)","Targem Games","Topware Interactive"
"230","Dragon Nest","Dec 18, 2012","Free","39% (74%)","500,000 .. 1,000,000","02:25 (01:36)","Eyedentity Games Inc.","Eyedentity Games Inc."
"240","Tomb Raider III","Nov 28, 2012","$6.99","57% (83%)","500,000 .. 1,000,000","00:00 (00:00)","Core Design","Square Enix"
"243","Tomb Raider I","Nov 28, 2012","$6.99","55% (82%)","500,000 .. 1,000,000","00:06 (00:03)","Core Design","Square Enix"
"278","Superbrothers: Sword & Sworcery EP","Apr 16, 2012","$7.99","48% (79%)","500,000 .. 1,000,000","00:00 (00:00)","Capybara, Superbrothers, Jim Guthrie","Capybara Games"
"281","Tomb Raider V: Chronicles","Nov 28, 2012","$6.99","35% (72%)","500,000 .. 1,000,000","00:00 (00:00)","Core Design","Square Enix"
"283","Continent of the Ninth Seal","Sep 13, 2012","Free","35% (72%)","500,000 .. 1,000,000","00:00 (00:00)","Cloud 9 Studio","Webzen"
"293","Tomb Raider IV: The Last Revelation","Nov 28, 2012","$6.99","63% (85%)","500,000 .. 1,000,000","00:00 (00:00)","Core Design","Square Enix"
"294","Mabinogi","Dec 6, 2012","Free","37% (73%)","500,000 .. 1,000,000","43:09 (14:23)","NEXON Korea Corp.","Nexon America Inc."
"316","Doom 3: BFG Edition","Oct 15, 2012","$19.99","55% (82%)","500,000 .. 1,000,000","00:19 (00:12)","id Software","Bethesda Softworks"
"323","Everquest","Dec 13, 2012","Free","37% (73%)","500,000 .. 1,000,000","00:00 (00:00)","Daybreak Game Company","Daybreak Game Company"
"324","Sonic Adventure 2","Nov 19, 2012","$9.99","60% (84%)","500,000 .. 1,000,000","01:53 (02:32)","SEGA","SEGA"
"326","Really Big Sky","Feb 24, 2012","$4.99","40% (75%)","500,000 .. 1,000,000","02:40 (00:53)","Boss Baddie","Ripstone"
"338","Dwarfs - F2P","Oct 18, 2012","Free","63% (85%)","500,000 .. 1,000,000","02:10 (00:43)","Power of 2","Tripwire Interactive"
"346","Dungeons & Dragons Online","Jun 25, 2012","Free","35% (72%)","500,000 .. 1,000,000","02:15 (02:46)","Standing Stone Games, LLC","Standing Stone Games, LLC"
"349","Tomb Raider II","Nov 28, 2012","$6.99","65% (86%)","500,000 .. 1,000,000","00:03 (00:01)","Core Design","Square Enix"
"356","Tomb Raider VI: The Angel of Darkness","Nov 28, 2012","$6.99","13% (54%)","500,000 .. 1,000,000","00:00 (00:00)","Core Design","Square Enix"
"359","Sacred 2 Gold","Dec 21, 2012","$14.99","35% (72%)","500,000 .. 1,000,000","00:00 (00:00)","Ascaron","Deep Silver"
"11","Thief II: The Metal Age","May 22, 2012","$6.99","87% (93%/87%)","200,000 .. 500,000","00:01 (00:00)","Looking Glass Studios","Square Enix"
"13","Rayman Origins","Mar 29, 2012","$19.99","87% (93%/86%)","200,000 .. 500,000","00:32 (00:27)","UBIart Montpellier, Feral Interactive (Mac)","Ubisoft, Feral Interactive (Mac)"
"24","Galactic Civilizations I: Ultimate Edition","Aug 14, 2012","$9.99","7% (44%/83%)","200,000 .. 500,000","07:32 (02:30)","Stardock Entertainment","Stardock Entertainment"
"30","The Book of Unwritten Tales","Jul 31, 2012","$19.99","74% (89%/82%)","200,000 .. 500,000","00:00 (00:00)","KING Art","THQ Nordic"
"32","Botanicula","May 7, 2012","$9.99","95% (96%/82%)","200,000 .. 500,000","00:09 (00:03)","Amanita Design","Amanita Design"
"39","Vessel","Mar 1, 2012","$19.99","68% (87%/81%)","200,000 .. 500,000","00:00 (00:00)","Strange Loop Games","IndiePub"
"41","PixelJunk Eden","Feb 2, 2012","$9.99","68% (87%/81%)","200,000 .. 500,000","00:00 (00:00)","Q-Games Ltd.","Q-Games Ltd."
"43","Wizorb","Mar 14, 2012","$2.99","44% (77%/81%)","200,000 .. 500,000","00:09 (00:03)","Tribute Games Inc.","Tribute Games Inc."
"47","Intrusion 2","Sep 11, 2012","$9.99","77% (90%/80%)","200,000 .. 500,000","00:01 (00:00)","Aleksey Abramenko","Aleksey Abramenko"
"48","LEGO Harry Potter: Years 5-7","Jan 5, 2012","$19.99","65% (86%/80%)","200,000 .. 500,000","10:33 (07:01)","Traveller's Tales","Warner Bros. Interactive Entertainment"
"50","Stacking","Mar 6, 2012","$9.99","80% (91%/80%)","200,000 .. 500,000","00:00 (00:00)","Double Fine Productions","Double Fine Productions"
"51","Stealth Bastard Deluxe","Nov 28, 2012","$9.99","71% (88%/80%)","200,000 .. 500,000","00:00 (00:00)","Curve Studios","Curve Digital"
"57","F1 2012","Sep 17, 2012","$19.99","68% (87%/80%)","200,000 .. 500,000","04:19 (07:15)","Codemasters Birmingham","Codemasters"
"60","Offspring Fling!","May 11, 2012","$7.99","71% (88%/79%)","200,000 .. 500,000","00:00 (00:00)","Kyle Pulver","Kyle Pulver"
"61","Dustforce DX","Jan 17, 2012","$9.99","87% (93%/79%)","200,000 .. 500,000","00:01 (00:00)","Hitbox Team",""
"64","Waking Mars","Dec 13, 2012","$9.99","74% (89%/79%)","200,000 .. 500,000","00:00 (00:00)","Tiger Style","Tiger Style"
"65","Condemned: Criminal Origins","Oct 29, 2012","$14.95","65% (86%/78%)","200,000 .. 500,000","00:09 (00:03)","Monolith","SEGA"
"67","Closure","Sep 7, 2012","$9.99","65% (86%/78%)","200,000 .. 500,000","01:01 (00:20)","Eyebrow Interactive","Eyebrow Interactive"
"69","Chaos on Deponia","Nov 6, 2012","$19.99","80% (91%/78%)","200,000 .. 500,000","02:01 (02:39)","Daedalic Entertainment","Daedalic Entertainment"
"70","Rocksmith","Oct 16, 2012","$29.99","77% (90%/78%)","200,000 .. 500,000","00:01 (00:00)","Ubisoft - San Francisco","Ubisoft"
"71","Sine Mora","Nov 9, 2012","N/A","60% (84%/77%)","200,000 .. 500,000","00:00 (00:00)","Digital Reality","HandyGames"
"73","Quantum Conundrum","Jun 21, 2012","$8.99","57% (83%/77%)","200,000 .. 500,000","00:00 (00:00)","Airtight Games","Square Enix"
"74","Magic: The Gathering - Duels of the Planeswalkers 2013","Jun 20, 2012","$9.99","68% (87%/77%)","200,000 .. 500,000","00:00 (00:00)","Stainless Games","Wizards of the Coast LLC"
"76","Legacy of Kain: Soul Reaver 2","Dec 6, 2012","$6.99","39% (74%/77%)","200,000 .. 500,000","08:45 (02:55)","Crystal Dynamics","Square Enix"
"80","Insanely Twisted Shadow Planet","Apr 17, 2012","$14.99","71% (88%/76%)","200,000 .. 500,000","00:00 (00:00)","Shadow Planet Productions","Microsoft Studios"
"82","Ys Origin","May 31, 2012","$19.99","93% (95%/76%)","200,000 .. 500,000","04:52 (04:48)","Nihon Falcom","XSEED Games"
"88","McPixel","Sep 25, 2012","$4.99","65% (86%/76%)","200,000 .. 500,000","00:46 (00:15)","Sos","Sos Mikolaj Kaminski"
"89","Edna & Harvey: Harvey's New Eyes","Oct 16, 2012","$19.99","80% (91%/75%)","200,000 .. 500,000","00:47 (00:31)","Daedalic Entertainment","Daedalic Entertainment"
"95","Symphony","Aug 6, 2012","$8.99","68% (87%/75%)","200,000 .. 500,000","01:37 (00:32)","Empty Clip Studios","Empty Clip Studios"
"96","The Dark Eye: Chains of Satinav","Jun 22, 2012","$19.99","65% (86%/75%)","200,000 .. 500,000","01:52 (02:01)","Daedalic Entertainment","Daedalic Entertainment"
"97","Half Minute Hero: Super Mega Neo Climax Ultimate Boy","Sep 27, 2012","$9.99","77% (90%/75%)","200,000 .. 500,000","00:05 (00:03)","Opus","Marvelous"
"101","Snapshot","Aug 30, 2012","$9.99","37% (73%/74%)","200,000 .. 500,000","00:00 (00:00)","Retro Affect","Retro Affect"
"107","They Bleed Pixels","Aug 29, 2012","$9.99","68% (87%/74%)","200,000 .. 500,000","00:31 (00:25)","Spooky Squid Games Inc.","Spooky Squid Games Inc."
"108","King's Bounty: Warriors of the North","Oct 25, 2012","$9.99","48% (79%/74%)","200,000 .. 500,000","00:00 (00:00)","1C-SoftClub","1C Entertainment"
"109","Rocketbirds: Hardboiled Chicken","Oct 15, 2012","$4.99","51% (80%/74%)","200,000 .. 500,000","02:58 (03:05)","Ratloop Asia","Reverb Publishing"
"114","The Testament of Sherlock Holmes","Sep 25, 2012","$19.99","57% (83%/73%)","200,000 .. 500,000","00:00 (00:00)","Frogwares","Frogwares"
"115","Hard Reset Extended Edition","Jul 12, 2012","$14.99","57% (83%/73%)","200,000 .. 500,000","00:31 (00:31)","Flying Wild Hog","Good Shepherd Entertainment"
"124","A New Beginning - Final Cut","Dec 11, 2012","$9.99","39% (74%/72%)","200,000 .. 500,000","00:00 (00:00)","Daedalic Entertainment","Daedalic Entertainment"
"127","Tom Clancy's Ghost Recon: Future Soldier","Jun 26, 2012","$19.99","25% (65%/71%)","200,000 .. 500,000","01:47 (01:46)","Ubisoft Paris, Red Storm Entertainment","Ubisoft"
"130","Toy Soldiers","Apr 27, 2012","$9.99","77% (90%/71%)","200,000 .. 500,000","00:19 (00:06)","Signal Studios","Microsoft Studios"
"131","Legacy of Kain: Defiance","Dec 6, 2012","$6.99","68% (87%/70%)","200,000 .. 500,000","00:35 (00:40)","Crystal Dynamics","Square Enix"
"133","Splice","Jun 13, 2012","$9.99","74% (89%/70%)","200,000 .. 500,000","00:25 (00:08)","Cipher Prime Studios","Cipher Prime Studios"
"135","Home","Aug 31, 2012","$2.99","32% (70%/69%)","200,000 .. 500,000","08:04 (05:22)","Benjamin Rivers Inc.","Benjamin Rivers Inc."
"137","Of Orcs And Men","Oct 11, 2012","$14.99","37% (73%/69%)","200,000 .. 500,000","00:00 (00:00)","Cyanide Studio - Spiders Studios","Focus Home Interactive"
"142","Oil Rush","Jan 25, 2012","$7.99","16% (57%/67%)","200,000 .. 500,000","00:00 (00:00)","Unigine Corp.","Unigine Corp."
"143","Primal Carnage","Oct 29, 2012","$7.99","44% (77%/67%)","200,000 .. 500,000","02:31 (02:31)","Lukewarm Media","Reverb Triple XP, Circle 5"
"145","I Am Alive","Sep 6, 2012","$14.99","25% (65%/66%)","200,000 .. 500,000","00:08 (00:02)","Ubisoft Shanghaï","Ubisoft"
"152","A Virus Named TOM","Aug 1, 2012","$9.99","34% (71%/65%)","200,000 .. 500,000","00:00 (00:00)","Misfits Attic","Misfits Attic"
"157","Blades of Time","Apr 20, 2012","$9.99","65% (86%/63%)","200,000 .. 500,000","00:08 (00:02)","Gaijin Entertainment Corporation","Gaijin Entertainment Corporation"
